"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"389181330","8000 KROLL WAY","Bakersfield","CA",93311,-119.093631559,35.3539162583,-119.093745656,35.353857685,-119.093533422,35.353976626,"0600","8000 KROLL WAY,Bakersfield,CA,93311",6029
"20505063","850 SANTA PAULA AVE","Sunnyvale","CA",94085,-122.005990087,37.3932867913,-122.006153006,37.3932107124,-122.005826194,37.3933630059,NA,"850 SANTA PAULA AVE,Sunnyvale,CA,94085",6085
"7541005002","1704 Paseo Del Mar","Palos Verdes Estates","CA",90274,-118.418884378,33.7837830332,-118.41920552,33.7835507963,-118.418562764,33.7840150852,"0101","1704 Paseo Del Mar,Palos Verdes Estates,CA,90274",6037
"012111005","510 NOTTINGHAM DR","Brentwood","CA",94513,-121.701458697,37.9301369614,-121.701678289,37.9300454031,-121.701224094,37.9302480824,NA,"510 NOTTINGHAM DR,Brentwood,CA,94513",6013
"7183034002","5113 E Conant St","Long Beach","CA",90808,-118.133270164,33.8252987159,-118.133404005,33.8251766471,-118.133163743,33.8254786043,"0100","5113 E Conant St,Long Beach,CA,90808",6037
"770031029","78235 DESERT FALL WAY","La Quinta","CA",92253,-116.299047943,33.6810893487,-116.299197566,33.6809344176,-116.298912401,33.6812382084,NA,"78235 DESERT FALL WAY,La Quinta,CA,92253",6065
"4250232700","3541 BRANDYWINE ST","San Diego","CA",92117,-117.208441094,32.805831078,-117.208546232,32.8057310267,-117.208340141,32.80593624,NA,"3541 BRANDYWINE ST,San Diego,CA,92117",6073
"5368024014","410 E Grand Ave","San Gabriel","CA",91776,-118.095179654,34.0914045535,-118.095266351,34.0912004409,-118.095093118,34.0916087101,"0100","410 E Grand Ave,San Gabriel,CA,91776",6037
"3607072","3719 20TH ST","San Francisco","CA",94110,-122.423992828,37.7580901633,-122.424050778,37.7579326856,-122.423934878,37.7582476402,NA,"3719 20TH ST,San Francisco,CA,94110",6075
"6270201035","4643 BEAUMONT DR","Santa Susana","CA",93063,-118.702663835,34.2870268209,-118.702803043,34.2868633738,-118.702538046,34.2872370168,NA,"4643 BEAUMONT DR,Santa Susana,CA,93063",6111
"5829014022","426 W Palm St",NA,"CA",91001,-118.154861069,34.1990494825,-118.155028289,34.1988406299,-118.154694122,34.1992584754,"0100","426 W Palm St,NA,CA,91001",6037
"8730015006","2661 Altamira Dr",NA,"CA",91792,-117.90621691,34.0263798906,-117.906428177,34.0262338707,-117.906022066,34.0265093615,"0101","2661 Altamira Dr,NA,CA,91792",6037
"7178025015","4151 Marber Ave","Lakewood","CA",90713,-118.124743955,33.833847584,-118.124973143,33.8337740272,-118.124514751,33.833921139,"0100","4151 Marber Ave,Lakewood,CA,90713",6037
"022-390-16-1","19355 MACHO RD","Red Bluff","CA",96080,-122.319587939,40.1659339548,-122.321435951,40.1652598001,-122.317288704,40.1667462813,"051","19355 MACHO RD,Red Bluff,CA,96080",6103
"01003900490000","2014 VIZCAYA WALK","Sacramento","CA",95818,-121.48436519,38.564863315,-121.484444347,38.5647654432,-121.484286033,38.5649611868,NA,"2014 VIZCAYA WALK,Sacramento,CA,95818",6067
"1624701100","1630 RAVINE RD","Vista","CA",92083,-117.274707976,33.2007025319,-117.274848954,33.2005273957,-117.274570304,33.2008765616,NA,"1630 RAVINE RD,Vista,CA,92083",6073
"43902070","1758 MARLYN WAY","San Jose","CA",95125,-121.897249915,37.2953614844,-121.897493011,37.2952362396,-121.897003843,37.2954908862,NA,"1758 MARLYN WAY,San Jose,CA,95125",6085
"027 470 04","328 QUAIL DR","Woodland","CA",95695,-121.798953652,38.6942547556,-121.799098845,38.6940571764,-121.798774102,38.6944108831,NA,"328 QUAIL DR,Woodland,CA,95695",6113
"005491008000","1931 CORDELIA DR","Atwater","CA",95301,-120.575180729,37.3420121207,-120.575284551,37.3418607927,-120.575076907,37.3421634483,"101","1931 CORDELIA DR,Atwater,CA,95301",6047
"101162119","11286 POULSEN",NA,NA,91762,-117.691398563,34.0487775089,-117.691548748,34.0485823551,-117.691185533,34.0489799634,"510","11286 POULSEN,NA,NA,91762",6071
"044 498700900","902   92ND AVE","Oakland","CA",94603,-122.181168308,37.7447215826,-122.181342367,37.7445555349,-122.180995349,37.7448874121,"4000","902   92ND AVE,Oakland,CA,94603",6001
"6341700331","3055 IRIS AVE","San Ysidro","CA",92173,-117.067957626,32.5687081832,-117.069094454,32.568311013,-117.066836825,32.5690307644,NA,"3055 IRIS AVE,San Ysidro,CA,92173",6073
"421560035","5972 INDIAN CANYON DR","Banning","CA",92220,-116.942065234,33.9084012096,-116.942199748,33.9082184903,-116.941948797,33.9085558243,NA,"5972 INDIAN CANYON DR,Banning,CA,92220",6065
"027 625 18","24 JOYCE CT","Woodland","CA",95776,-121.73930209,38.6680443411,-121.739583145,38.6678610438,-121.739109584,38.6682032257,NA,"24 JOYCE CT,Woodland,CA,95776",6113
"5484005008","6051 Fayette St","Highland Park","CA",90042,-118.187173192,34.1192538108,-118.18726552,34.1191348439,-118.187080863,34.1193727777,"0100","6051 Fayette St,Highland Park,CA,90042",6037
"445 024003600","1095 CENTRAL BLVD","Hayward","CA",94542,-122.065717749,37.6552430921,-122.06589269,37.6551115894,-122.065531309,37.6553674312,"1100","1095 CENTRAL BLVD,Hayward,CA,94542",6001
"076-200-008","1810 DARBY RD","Freestone","CA",95472,-122.851164689,38.3754876616,-122.852283329,38.3751412853,-122.849920163,38.3760793115,NA,"1810 DARBY RD,Freestone,CA,95472",6097
"0180160060","1372 CRUZERO ST","Ojai","CA",93023,-119.287535775,34.4314800107,-119.287876067,34.4309968992,-119.287180391,34.4320108387,NA,"1372 CRUZERO ST,Ojai,CA,93023",6111
"11909200480000","4717 MAPLEPLAIN AVE","Elk Grove","CA",95758,-121.449334955,38.4330611671,-121.449483409,38.4329028769,-121.449198851,38.433209775,NA,"4717 MAPLEPLAIN AVE,Elk Grove,CA,95758",6067
"8427009021","625 N Mangrove Ave","Covina","CA",91724,-117.860635083,34.0925583975,-117.860778948,34.0924459805,-117.860433601,34.0927345085,"0100","625 N Mangrove Ave,Covina,CA,91724",6037
"2266013088","14106 Dickens St","Sherman Oaks","CA",91423,-118.440405686,34.1478345714,-118.440522371,34.1475401744,-118.440289002,34.1481289678,"010C","14106 Dickens St,Sherman Oaks,CA,91423",6037
"413291013","2982   20TH ST","Hilltop Mall","CA",94806,-122.343898488,37.9735376707,-122.344089235,37.9734334592,-122.343707727,37.9736419148,NA,"2982   20TH ST,Hilltop Mall,CA,94806",6013
"3111024012","41864 Firenze St","Del Sur","CA",93536,-118.205975692,34.6437946482,-118.20642129,34.6436709698,-118.205616988,34.6439271697,"0100","41864 Firenze St,Del Sur,CA,93536",6037
