"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"27449016","765 N MONROE ST","San Jose","CA",95128,-121.943886894,37.329662909,-121.944020626,37.3295206304,-121.943721349,37.3298190652,NA,"765 N MONROE ST,San Jose,CA,95128",6085
"018540047","2979 CHERISH CT","Brentwood","CA",94513,-121.727579579,37.9684503043,-121.727893022,37.9682428919,-121.727267895,37.9685796893,NA,"2979 CHERISH CT,Brentwood,CA,94513",6013
"062-170-056-000","33718 RAIL FENCE RD",NA,NA,95701,-120.81188744,39.2149652953,-120.812765561,39.2145235311,-120.811008259,39.215395471,"01","33718 RAIL FENCE RD,NA,NA,95701",6061
"4868120100","9415 HILMER DR","La Mesa","CA",91942,-116.994627502,32.7813402333,-116.994788768,32.7811675883,-116.994465837,32.7815142709,NA,"9415 HILMER DR,La Mesa,CA,91942",6073
"07000950020000","1013 FIGUEROA ST","Folsom","CA",95630,-121.180392393,38.6738637543,-121.180605163,38.6736681354,-121.180176339,38.6740597509,NA,"1013 FIGUEROA ST,Folsom,CA,95630",6067
"364101019","30231 CALLE BELCANTO","Menifee","CA",92584,-117.161356278,33.6809279667,-117.161509072,33.6807795706,-117.161212596,33.6810879539,NA,"30231 CALLE BELCANTO,Menifee,CA,92584",6065
"45113014","1360 LINDSAY WAY","San Jose","CA",95118,-121.886016203,37.26973752,-121.886167144,37.2695801223,-121.885864647,37.2698952944,NA,"1360 LINDSAY WAY,San Jose,CA,95118",6085
"1810136170","751 CORONADO PL","Oxnard","CA",93030,-119.200496048,34.2104480128,-119.200708743,34.2102845822,-119.200281788,34.210605395,NA,"751 CORONADO PL,Oxnard,CA,93030",6111
"2478020019","912 N Florence St","Burbank","CA",91505,-118.338632043,34.1732263846,-118.338864829,34.1730948453,-118.338398706,34.1733579031,"0101","912 N Florence St,Burbank,CA,91505",6037
"56123036","35 W WYNDOVER AVE","CLOVIS","CA",93611,-119.712106833,36.84999117,-119.712248082,36.8498116422,-119.711957477,36.8501588878,"11","35 W WYNDOVER AVE,CLOVIS,CA,93611",6019
"134412030","2617 FOUNTAIN DR","Bakersfield","CA",93306,-118.937874652,35.3811039843,-118.938108072,35.3809352236,-118.937641233,35.3812727452,"0101","2617 FOUNTAIN DR,Bakersfield,CA,93306",6029
"36204002","21331 COLUMBUS AVE","Cupertino","CA",95014,-122.046917121,37.3081427135,-122.047132203,37.3078679612,-122.046646825,37.3083325127,NA,"21331 COLUMBUS AVE,Cupertino,CA,95014",6085
"08329307S","143 WILLOW SPRINGS","COALINGA","CA",93210,-120.334268085,36.1358807555,-120.334438641,36.1358060628,-120.334097528,36.1359554478,"11","143 WILLOW SPRINGS,COALINGA,CA,93210",6019
"6338015024","6079 Gloucester St","East Los Angeles","CA",90022,-118.14152542,34.0117460939,-118.141644359,34.0116075477,-118.141405762,34.0118893548,"0100","6079 Gloucester St,East Los Angeles,CA,90022",6037
"034132118","2125 PRINCETON ST","Delano","CA",93215,-119.236842404,35.7860056457,-119.237113699,35.7859362487,-119.236571104,35.7860750383,"0101","2125 PRINCETON ST,Delano,CA,93215",6029
"150092006","148 KATHRYN DR","Pleasant Hill","CA",94523,-122.06649704,37.9525601424,-122.066620011,37.9524258025,-122.066373831,37.9526947911,NA,"148 KATHRYN DR,Pleasant Hill,CA,94523",6013
"5368008038","307 Sunset Ave","San Gabriel","CA",91776,-118.096951791,34.095405486,-118.097035894,34.0952352353,-118.09686771,34.0955759349,"0200","307 Sunset Ave,San Gabriel,CA,91776",6037
"4450610201","4673 ALABAMA ST","San Diego","CA",92116,-117.142210992,32.7623981758,-117.142447278,32.7623256986,-117.1419763,32.7624720136,NA,"4673 ALABAMA ST,San Diego,CA,92116",6073
"031926212","35055 AVENUE H","Oak Glen","CA",92399,-117.039840464,34.0097969764,-117.03997258,34.0093847525,-117.039708346,34.0102091984,"510","35055 AVENUE H,Oak Glen,CA,92399",6071
"210763029","205 HAT CREEK CT","San Ramon","CA",94582,-121.911904117,37.732811941,-121.912030892,37.7326686734,-121.911699512,37.7329779252,NA,"205 HAT CREEK CT,San Ramon,CA,94582",6013
"422093047","205 S LEXINGTON ST","Delano","CA",93215,-119.240996602,35.7570675241,-119.241137569,35.7568963457,-119.240854431,35.7572401065,"0101","205 S LEXINGTON ST,Delano,CA,93215",6029
"01002511","2328 B ST","Eureka","CA",95501,-124.168877036,40.7866555275,-124.169076696,40.7865583809,-124.168677233,40.7867526518,"CITY OF EU","2328 B ST,Eureka,CA,95501",6023
"6302008030","2150 E 25th St",NA,"CA",90058,-118.232260644,34.0142209884,-118.233289896,34.0138487071,-118.231767299,34.01471186,"3330","2150 E 25th St,NA,CA,90058",6037
"8441026017","1223 E Rowland Ave","West Covina","CA",91790,-117.920980949,34.0793320922,-117.921091874,34.0791840176,-117.920869842,34.079480162,"0100","1223 E Rowland Ave,West Covina,CA,91790",6037
"320100051","297 FLICKER WAY","Perris","CA",92571,-117.219548013,33.8112202814,-117.219614168,33.8110811485,-117.219480307,33.8113582446,NA,"297 FLICKER WAY,Perris,CA,92571",6065
"257020027","600 PALMYRITA AVE","Riverside","CA",92507,-117.325056261,34.0038042399,-117.325592051,34.0029393085,-117.324570128,34.0046369834,NA,"600 PALMYRITA AVE,Riverside,CA,92507",6065
"019240075","2181 NEWTON DR","Brentwood","CA",94513,-121.732980378,37.9361697525,-121.733084758,37.9360330325,-121.732875989,37.9363064336,NA,"2181 NEWTON DR,Brentwood,CA,94513",6013
"123200164","332 CHESTNUT AVE","Bakersfield","CA",93305,-118.99205061,35.399908814,-118.992172621,35.3996922854,-118.991928343,35.4001241729,"0101","332 CHESTNUT AVE,Bakersfield,CA,93305",6029
"02609033","485 CURTNER CT","Milpitas","CA",95035,-121.900174851,37.4568187119,-121.900336061,37.4566873042,-121.899979589,37.4569675983,NA,"485 CURTNER CT,Milpitas,CA,95035",6085
"028062033","4880 Arizona Ave","Atascadero","CA",93422,-120.671889528,35.5082702452,-120.67205043,35.5081442147,-120.671726139,35.5084016268,NA,"4880 Arizona Ave,Atascadero,CA,93422",6079
"76423013","18570 HALE AVE","Morgan Hill","CA",95037,-121.66829522,37.1424509949,-121.668553302,37.1421832182,-121.668003726,37.1427013351,NA,"18570 HALE AVE,Morgan Hill,CA,95037",6085
"31262120S","5650 W WEATHERMAKER AVE","FRESNO","CA",93722,-119.892653529,36.7634429486,-119.892761898,36.7633050708,-119.892545162,36.763580835,"11","5650 W WEATHERMAKER AVE,FRESNO,CA,93722",6019
"028 094103600","3090 KANSAS ST","Oakland","CA",94602,-122.202033994,37.7973454382,-122.202219058,37.7971999733,-122.201848898,37.7974908916,"7390","3090 KANSAS ST,Oakland,CA,94602",6001
"190123005","5348 LANTANA ST","Riverside","CA",92504,-117.419801933,33.9581715432,-117.419920241,33.9580133574,-117.419683628,33.9583296987,NA,"5348 LANTANA ST,Riverside,CA,92504",6065
"6040037025","339 W 92nd St",NA,"CA",90003,-118.279722196,33.9530433525,-118.279888823,33.9528796671,-118.279624981,33.953172807,"0100","339 W 92nd St,NA,CA,90003",6037
"115421006","1912 ELISE CIR","Corona","CA",92879,-117.527235774,33.8812530671,-117.527569237,33.880932668,-117.526890706,33.8815853536,NA,"1912 ELISE CIR,Corona,CA,92879",6065
"6079013013","1216 W 119th St",NA,"CA",90044,-118.296423919,33.9247106895,-118.296559186,33.9244929874,-118.296336601,33.9249045478,"0100","1216 W 119th St,NA,CA,90044",6037
"51111104","5381 W SAGINAW WAY","FRESNO","CA",93722,-119.887416183,36.7887291581,-119.887521292,36.7885873037,-119.887311082,36.7888710179,"11","5381 W SAGINAW WAY,FRESNO,CA,93722",6019
"502122007","2639 E LIVMOR AVE","Palm Springs","CA",92262,-116.517875995,33.8251011811,-116.518102431,33.8249573595,-116.517651292,33.8252464522,NA,"2639 E LIVMOR AVE,Palm Springs,CA,92262",6065
"8242017037","1149 Charlemont Ave","Hacienda Heights","CA",91745,-117.956322557,34.0077396669,-117.956523053,34.0075974818,-117.956122049,34.0078818514,"0100","1149 Charlemont Ave,Hacienda Heights,CA,91745",6037
"45004324","1586 N DELNO AVE","FRESNO","CA",93728,-119.819640181,36.7644780804,-119.819853524,36.7644069297,-119.819426429,36.7645490398,"11","1586 N DELNO AVE,FRESNO,CA,93728",6019
"6287001018","10230 Pangborn Ave","Downey","CA",90241,-118.106269944,33.9407046422,-118.106488692,33.9405449314,-118.106051182,33.9408642643,"0101","10230 Pangborn Ave,Downey,CA,90241",6037
"5415010017","1855 Park Dr","Los Angeles","CA",90026,-118.249242425,34.0839882153,-118.249584589,34.0837570832,-118.248915425,34.0842240142,"0100","1855 Park Dr,Los Angeles,CA,90026",6037
"3191807759","10824 SCRIPPS RANCH BLVD","San Diego","CA",92131,-117.111657004,32.9150531997,-117.113378218,32.9143362311,-117.110208878,32.9161698489,NA,"10824 SCRIPPS RANCH BLVD,San Diego,CA,92131",6073
